,Name,Symbol,Sector,Market Cap Category,Market Capital,Close Price,Total Revenue,Promoters Holding,Return on Equity,Earnings Per Share,PE Ratio,PB Ratio,Dividend Yield,Debt to Equity,5 Year CAGR,Current Ratio,EBITDA,Net Profit Margin,Net Income,Revenue Growth
1059,Apex Frozen Foods Ltd,APEX,Packaged Foods and Meats,Small Cap,667.66,215.4,926.99,72.62,8.97,13.14,16.26,1.4,1.17,35.08,-20.99,2.39,92.09,4.43,41.07,12.23
1060,Orient Bell Ltd,ORIENTBELL,Construction and Infrastructure,Small Cap,734.19,509.3,671.15,64.45,12.05,22.36,22.82,2.58,0.2,5.48,12.64,1.69,59.88,4.79,32.18,29.8
1061,Texmaco Infrastructure and Holdings Ltd,TEXINFRA,Real Estate,Small Cap,656.88,52.0,30.6,65.11,-13.32,-6.77,-7.62,0.98,0.16,4.29,-3.35,10.91,-85.61,-281.9,-86.26,-2.11
1062,Zota Health Care Ltd,ZOTA,Pharmaceuticals,Small Cap,739.34,289.65,132.82,68.12,11.43,3.58,82.98,8.25,0.51,16.62,0.0,2.14,16.43,6.71,8.91,21.76
1063,Pennar Industries Ltd,PENIND,Metals and Mining,Small Cap,999.28,72.9,2282.81,39.74,5.84,2.94,23.89,1.36,0.0,87.74,4.64,1.12,188.42,1.83,41.83,45.96
1064,Sat Industries Ltd,SATINDLTD,Trading,Small Cap,753.15,68.6,351.48,51.59,18.57,3.14,21.19,3.56,0.23,42.83,0.0,1.87,63.99,10.11,35.55,71.37
1065,Indraprastha Medical Corporation Ltd,INDRAMEDCO,Healthcare,Small Cap,752.64,81.25,891.28,51.0,19.6,6.39,12.84,2.31,3.05,0.87,9.11,1.68,117.42,6.58,58.62,45.15
1066,Khaitan Chemicals and Fertilizers Ltd,KHAICHEM,Chemicals,Small Cap,573.69,59.75,825.04,74.99,37.29,8.2,7.22,2.27,0.51,56.34,0.0,1.52,122.27,9.64,79.51,71.39
1067,Bliss GVS Pharma Ltd,BLISSGVS,Pharmaceuticals,Small Cap,825.93,80.05,778.94,34.46,1.8,1.45,54.95,0.98,0.63,12.92,-16.07,3.33,76.23,1.93,15.03,30.38
1068,Indian Hume Pipe Company Ltd,INDIANHUME,Environmental Services,Small Cap,650.4,134.05,1525.1,69.92,9.23,11.93,11.25,1.0,1.49,90.29,-19.59,1.33,161.56,3.79,57.8,20.21
1069,Shakti Pumps India Ltd,SHAKTIPUMP,Machines,Small Cap,761.58,415.85,1184.68,55.95,17.66,35.26,11.75,1.94,0.48,27.0,-6.0,1.59,116.59,5.47,64.81,26.92
1070,Xchanging Solutions Ltd,XCHANGING,IT Services and Consulting,Small Cap,627.2,58.4,182.84,75.0,8.99,4.72,11.93,1.02,0.0,0.28,-0.92,8.87,61.94,28.75,52.57,-13.62
1071,Visaka Industries Ltd,VISAKAIND,Cement,Small Cap,662.81,384.0,1425.67,48.42,17.41,69.76,5.6,0.91,3.93,22.84,-10.92,1.75,209.76,8.3,118.31,23.42
1072,Tourism Finance Corporation of India Ltd,TFCILTD,Finance,Small Cap,641.64,72.1,254.32,17.94,9.87,9.97,7.52,0.68,1.69,135.79,-14.7,7.06,109.37,33.55,85.32,-1.62
1073,Transformers and Rectifiers Ltd,TRIL,Heavy Electrical Equipments,Small Cap,800.69,60.35,1171.59,74.91,3.92,1.06,57.23,2.2,0.25,88.99,14.44,1.35,83.88,1.19,13.99,55.86
1074,Ram Ratna Wires Ltd,RAMRAT,Electrical Components and Equipments,Small Cap,665.28,152.3,2296.43,73.04,21.27,5.93,12.75,2.36,3.31,95.64,0.0,1.62,117.83,2.27,52.19,50.1
1075,Entertainment Network Ltd,ENIL,Media and Entertainment,Small Cap,598.74,125.8,339.68,71.15,-4.64,-7.61,-16.49,0.79,0.8,0.0,-29.51,3.09,64.19,-10.69,-36.3,16.66
1076,Vascon Engineers Ltd,VASCONEQ,Construction and Infrastructure,Small Cap,651.95,30.8,710.07,32.2,4.59,1.76,18.52,0.79,0.0,19.97,-3.76,1.87,75.96,4.96,35.2,37.03
1077,B L Kashyap and Sons Ltd,BLKASHYAP,Construction and Infrastructure,Small Cap,636.87,28.4,1198.29,61.56,10.96,1.95,14.49,1.51,0.0,89.92,-7.7,1.21,131.14,3.67,43.95,52.19
1078,Roto Pumps Ltd,ROTO,Machines,Small Cap,893.39,583.0,179.92,68.86,25.31,19.35,29.63,6.62,0.5,25.15,0.0,2.28,49.05,16.76,30.15,36.72
1079,Kopran Ltd,KOPRAN,Pharmaceuticals,Small Cap,540.92,113.0,488.12,44.3,18.18,4.19,8.86,1.27,2.67,17.49,10.48,2.74,97.99,12.5,61.02,-4.25
1080,GFL Ltd,GFLLIMITED,Chemicals,Small Cap,649.76,59.7,856.03,68.72,-15.32,-10.13,-5.84,0.87,0.0,396.48,-40.27,0.87,-22.91,-13.0,-111.26,125.31
1081,Rajnandini Metal Ltd,RAJMET,Metals and Mining,Small Cap,364.95,13.45,1029.5,73.24,40.8,0.36,36.39,12.33,0.0,173.77,0.0,1.27,19.27,0.97,10.03,62.95
1082,Royal Orchid Hotels Ltd,ROHLTD,Hospitality,Small Cap,626.25,234.8,182.68,63.6,18.35,10.71,21.33,4.26,0.0,101.01,4.01,1.28,66.18,16.07,29.36,105.63
1083,Lincoln Pharmaceuticals Ltd,LINCOLN,Pharmaceuticals,Small Cap,653.57,330.55,482.12,46.34,17.36,34.63,9.42,1.51,0.46,0.47,6.43,3.9,105.48,14.39,69.36,12.16
1084,Bhageria Industries Ltd,BHAGERIA,Chemicals,Small Cap,564.54,128.95,610.58,71.44,14.72,16.17,8.0,1.11,3.09,6.86,-3.25,2.51,125.69,11.56,70.58,50.22
1085,Creative Newtech Ltd,CREATIVE,Technology Hardware,Small Cap,552.2,453.45,947.81,63.48,21.3,13.54,34.56,6.25,0.0,72.8,0.0,1.58,32.63,1.69,15.98,80.08
1086,Creative Castings Ltd,CREATIVE,Metals and Mining,Small Cap,59.53,458.5,42.73,74.96,11.01,25.31,18.1,1.92,2.18,0.0,18.42,6.34,4.82,7.7,3.29,36.82
1087,Jay Bharat Maruti Ltd,JAYBARMARU,Automobiles,Small Cap,624.82,144.05,2081.27,59.35,6.09,6.5,22.21,1.32,0.87,80.14,-9.42,0.59,151.25,1.35,28.13,38.39
1088,Talbros Automotive Components Ltd,TALBROAUTO,Automobiles,Small Cap,525.0,432.5,595.48,58.32,16.34,36.35,11.7,1.74,0.59,29.48,8.51,1.23,91.02,7.54,44.88,24.19
1089,SMS Pharmaceuticals Ltd,SMSPHARMA,Pharmaceuticals,Small Cap,586.22,69.3,525.07,64.17,14.13,7.35,9.42,1.25,0.43,55.98,-4.26,1.92,119.81,11.85,62.22,-7.33
1090,Cheviot Co Ltd,CHEVIOT,Textiles,Small Cap,656.11,1085.6,597.22,74.83,12.85,129.18,8.27,1.19,5.5,1.54,0.0,6.31,106.59,13.28,79.34,35.33
1091,Kanoria Chemicals and Industries Ltd,KANORICHEM,Chemicals,Small Cap,536.99,122.2,1397.99,74.4,1.14,1.56,78.62,0.89,0.81,78.87,9.78,1.24,97.03,0.49,6.83,26.31
1092,Deccan Cements Ltd,DECCANCE,Cement,Small Cap,636.36,455.25,802.52,56.24,14.47,62.52,7.27,0.99,1.1,25.75,-4.43,1.8,153.55,10.91,87.57,4.49
1093,Faze Three Ltd,FAZE3Q,Textiles,Small Cap,341.83,277.2,511.44,51.53,20.25,21.0,6.69,1.23,0.0,59.98,0.0,1.57,89.33,9.99,51.08,56.54
1094,Zuari Agro Chemicals Ltd,ZUARI,Chemicals,Small Cap,563.37,134.85,3814.85,65.28,17.59,31.02,4.32,0.67,0.0,313.0,-23.65,0.69,458.22,3.42,130.45,49.43
1095,3i Infotech Ltd,3IINFOLTD,IT Services and Consulting,Small Cap,555.03,33.4,691.74,0.0,-6.09,-0.64,-9.65,0.79,0.0,16.86,0.0,3.01,-29.43,-8.31,-57.49,-46.58
1096,HP Adhesives Ltd,HPAL,Chemicals,Small Cap,572.29,328.05,167.43,71.35,8.03,3.84,95.06,4.17,0.0,13.51,0.0,2.74,14.13,3.6,6.02,35.15
1097,Beta Drugs Ltd,BETA,Pharmaceuticals,Small Cap,644.12,645.0,184.6,66.71,30.85,25.83,25.94,6.98,0.0,22.31,33.17,1.98,43.46,13.45,24.83,58.29
1098,Oswal Greentech Ltd,BINDALAGRO,Real Estate,Small Cap,493.07,19.6,105.73,64.34,1.9,1.82,10.53,0.2,0.0,0.29,-8.16,14.84,65.53,44.28,46.82,-7.87
1099,Summit Securities Ltd,SUMMITSEC,Finance,Small Cap,658.85,585.05,74.99,74.65,1.08,46.62,12.96,0.15,0.0,0.0,-7.88,6.31,71.13,67.77,50.82,158.32
1100,Hercules Hoists Ltd,HERCULES,Machines,Small Cap,640.16,205.1,124.43,69.61,2.68,4.67,42.85,1.03,1.3,0.01,10.11,4.99,20.93,12.01,14.94,43.24
1101,Chaman Lal Setia Exports Ltd,CLSEL,Packaged Foods and Meats,Small Cap,797.47,168.5,936.36,73.87,17.12,12.56,12.27,1.95,0.0,28.75,0.0,3.64,99.08,6.94,64.98,9.54
1102,Paramount Communications Ltd,PARACABLES,Cables,Small Cap,685.47,36.0,584.68,62.12,4.16,0.42,83.49,3.4,0.0,92.53,20.11,2.99,24.16,1.4,8.21,12.06
1103,Dharamsi Morarji Chemical Co Ltd,DMCC,Chemicals,Small Cap,622.75,250.25,332.36,53.84,11.55,8.56,29.18,3.22,0.4,48.24,0.0,0.96,46.1,6.42,21.34,59.84
1104,Onward Technologies Ltd,ONWARDTEC,IT Services and Consulting,Small Cap,643.98,284.4,328.8,45.43,19.92,12.34,27.21,3.95,1.03,11.46,22.48,3.07,42.94,7.2,23.67,33.82
1105,Dharmaj Crop Guard Ltd,DHARMAJ,Chemicals,Small Cap,561.2,168.1,396.29,68.65,40.62,11.62,19.56,6.61,0.04,43.49,0.0,1.44,46.42,7.24,28.69,30.54
1106,Bharat Wire Ropes Ltd,BHARATWIRE,Metals and Mining,Small Cap,683.59,103.9,411.26,37.15,3.08,2.16,50.01,1.51,0.0,59.52,-2.64,1.96,62.76,3.32,13.67,64.06
1107,Arihant Capital Markets Ltd,ARIHANTCAP,Finance,Small Cap,425.3,43.0,171.06,74.12,24.5,1.61,8.45,1.86,0.73,35.99,0.0,1.55,66.45,29.43,50.35,46.68
1108,Rane Ltd,RML,Automobiles,Small Cap,721.69,442.85,1794.35,72.65,5.2,6.92,67.7,3.16,0.0,256.32,-14.11,0.89,127.14,0.59,10.66,40.82
1109,Sheetal Cool Products Ltd,SCPL,Packaged Foods and Meats,Small Cap,669.11,517.1,330.0,65.58,28.81,17.56,36.29,9.14,0.0,101.34,0.0,1.76,40.71,5.59,18.44,38.3
1110,Ruby Mills Ltd,RUBYMILLS,Textiles,Small Cap,568.98,171.25,199.89,74.9,6.03,9.28,18.33,1.07,0.88,52.87,0.92,0.86,55.64,15.53,31.04,49.76
1111,Gandhi Special Tubes Ltd,GANDHITUBE,Automobiles,Small Cap,621.94,513.25,141.77,73.53,24.16,30.75,16.13,4.23,1.95,0.0,4.49,8.33,53.8,27.19,38.55,18.48
1112,Control Print Ltd,CONTROLPR,Construction and Infrastructure,Small Cap,813.56,493.5,261.65,51.78,16.37,24.55,20.29,3.16,1.81,1.59,1.82,4.42,64.73,15.33,40.1,26.79
1113,Nupur Recyclers Ltd,NRL,Metals and Mining,Small Cap,483.0,108.05,163.17,72.53,51.62,8.25,25.57,7.65,0.0,3.53,0.0,5.39,26.65,11.58,18.89,55.44
1114,Sukhjit Starch and Chemicals Ltd,SUKHJITS,Agriculture,Small Cap,615.04,371.7,1162.05,66.18,19.54,47.94,8.45,1.49,2.54,69.77,0.0,1.25,160.8,6.27,72.82,64.4
1115,Shreyas Shipping and Logistics Ltd,SHREYAS,Logistics,Small Cap,549.82,249.8,553.93,70.44,40.15,96.13,2.6,0.87,1.0,37.39,-14.89,2.33,249.4,38.1,211.07,-4.66
1116,Nahar Poly Films Ltd,NAHARPOLY,Textiles,Small Cap,536.76,217.55,493.35,70.71,13.59,39.73,5.49,0.59,1.15,18.97,27.65,2.45,123.74,19.8,97.7,60.03
1117,Asian Granito India Ltd,ASIANTILES,Construction and Infrastructure,Small Cap,498.11,40.15,1608.68,29.02,11.43,14.16,5.42,0.52,0.8,20.87,-33.6,2.2,169.5,5.72,91.95,23.96
1118,HPL Electric and Power Ltd,HPL,Electrical Components and Equipments,Small Cap,548.48,86.25,1018.15,72.66,1.0,1.21,70.59,0.7,0.18,73.48,-8.77,1.44,129.33,0.76,7.77,15.81
1119,D P Abhushan Ltd,DPABHUSHAN,Diamond and Jewellery,Small Cap,688.23,307.6,1731.7,74.73,34.47,18.21,16.98,4.99,0.0,123.27,0.0,1.52,75.46,2.34,40.53,42.14
1120,Vikas Lifecare Ltd,VIKASLIFE,Plastic Products,Small Cap,575.54,3.95,344.62,11.36,21.55,0.3,20.05,2.88,0.0,11.56,0.0,1.26,42.76,8.33,28.7,309.48
1121,Indo Amines Ltd,INDOAMIN,Chemicals,Small Cap,622.85,87.05,796.4,68.35,13.03,3.23,27.27,3.31,0.57,110.29,0.0,1.08,62.58,2.87,22.84,45.17
1122,Dcm Shriram Industries Ltd,DCMSRIND,Packaged Foods and Meats,Small Cap,571.54,66.0,2146.89,50.11,10.28,2.54,8.63,0.85,2.28,84.25,0.0,1.24,165.72,3.09,66.25,9.52
1123,Snowman Logistics Ltd,SNOWMAN,Logistics,Small Cap,561.42,34.1,290.25,40.25,0.4,0.1,336.18,1.33,0.0,62.93,-7.83,1.87,73.79,0.58,1.67,20.65
1124,Yuken India Ltd,YUKEN,Machines,Small Cap,619.5,527.25,335.29,52.5,7.43,11.42,45.22,3.24,0.15,58.56,0.0,1.15,38.11,4.09,13.7,50.04
1125,Digispice Technologies Ltd,DIGISPICE,Telecom,Small Cap,453.82,19.45,1011.61,73.18,2.2,0.24,83.58,1.79,0.0,21.34,0.74,1.1,34.53,0.54,5.43,37.33
1126,Atul Auto Ltd,ATULAUTO,Automobiles,Small Cap,760.66,359.65,316.72,52.7,-8.2,-11.37,-30.5,2.47,0.0,50.59,-3.85,1.19,-14.99,-7.87,-24.94,6.44
1127,Refex Industries Ltd,REFEX,Chemicals,Small Cap,561.74,257.85,462.36,52.7,28.07,21.62,12.37,3.05,0.0,46.26,71.26,1.57,76.24,9.82,45.4,-27.43
1128,Linc Ltd,LINC,Education Services,Small Cap,765.92,521.75,362.14,58.83,5.87,5.47,94.09,5.36,0.35,2.42,3.34,2.14,24.41,2.25,8.14,39.23
1129,S Chand and Company Ltd,SCHAND,Education Services,Small Cap,641.78,183.7,604.25,47.14,0.96,2.3,79.72,0.76,0.0,21.49,-16.54,2.01,74.0,1.33,8.05,12.88
1130,Balaxi Pharmaceuticals Ltd,BALAXI,Trading,Small Cap,539.4,549.1,284.36,72.69,53.51,47.66,11.32,4.77,0.09,3.22,105.73,2.23,55.79,16.76,47.66,21.75
1131,Apollo Micro Systems Ltd,APOLLO,Construction and Infrastructure,Small Cap,628.21,317.65,243.95,59.1,4.67,7.04,43.0,1.96,0.08,36.17,1.05,1.87,46.4,5.99,14.61,19.75
1132,Jubilant Industries Ltd,JUBLINDS,Chemicals,Small Cap,576.54,393.95,1166.77,74.78,47.68,35.65,10.76,4.13,0.0,108.25,14.61,1.05,100.25,4.59,53.58,86.88
1133,Foods and Inns Ltd,FOODSIN,FMCG,Small Cap,652.52,128.3,638.61,40.44,8.07,3.04,42.68,3.32,0.19,113.3,0.0,1.11,58.45,2.39,15.29,67.43
1134,Shree Pushkar Chemicals and Fertilisers Ltd,SHREEPUSHK,Chemicals,Small Cap,531.0,168.35,591.19,68.42,15.12,18.01,9.56,1.34,1.16,23.89,-7.95,1.56,86.85,9.39,55.54,63.47
1135,Spencer's Retail Ltd,SPENCERS,Retail,Small Cap,549.97,61.05,2376.55,58.81,-97.87,-13.48,-4.53,8.89,0.0,1727.45,0.0,0.5,100.78,-5.11,-121.46,-4.23
1136,Automotive Stampings and Assemblies Ltd,ASAL,Automobiles,Small Cap,485.05,299.85,669.9,75.0,-1.46,32.98,9.27,-13.58,0.0,-2.29,29.73,0.45,78.13,7.81,52.32,97.51
1137,Eldeco Housing and Industries Ltd,ELDEHSG,Real Estate,Small Cap,595.44,594.25,137.17,54.83,17.74,51.67,11.72,1.93,1.32,0.97,0.0,2.24,69.95,37.04,50.81,-18.2
1138,Kellton Tech Solutions Ltd,KELLTONTEC,IT Services and Consulting,Small Cap,498.1,51.85,843.88,52.11,15.67,7.31,7.07,1.04,0.0,25.55,-2.14,2.96,105.94,8.35,70.46,8.14
1139,Rane Brake Linings Ltd,RBL,Automobiles,Small Cap,535.14,691.25,539.66,70.93,11.27,34.92,19.77,2.2,2.9,0.09,-8.02,1.76,56.34,5.02,27.07,18.38
1140,Crest Ventures Ltd,CREST,Finance,Small Cap,476.44,166.4,92.83,68.89,2.07,4.26,39.34,0.81,0.3,41.69,-4.89,8.04,18.33,13.05,12.11,30.53
1141,D P Wires Ltd,DPWIRES,Metals and Mining,Small Cap,481.12,367.0,615.98,70.4,21.17,21.41,16.56,3.17,0.28,8.68,0.0,4.01,43.41,4.72,29.05,31.27
1142,Universus Photo Imagings Ltd,UNIVPHOTO,Healthcare,Small Cap,432.56,405.55,642.76,74.55,47.19,469.87,0.84,0.4,0.0,0.0,0.0,69.52,597.26,80.02,514.35,719.95
1143,Jayant Agro-Organics Ltd,JAYAGROGN,Chemicals,Small Cap,489.75,165.15,2591.03,67.12,19.69,29.53,5.53,0.99,1.84,30.11,-15.09,2.03,153.64,3.42,88.58,57.93
1144,Nectar Lifesciences Ltd,NECLIFE,Pharmaceuticals,Small Cap,391.34,17.3,1680.15,44.35,2.33,1.12,15.62,0.36,0.0,79.04,-11.1,1.35,169.86,1.49,25.05,8.6
1145,Windlas Biotech Ltd,WINDLAS,Pharmaceuticals,Small Cap,531.63,251.05,472.64,61.22,12.83,24.66,13.96,1.35,1.43,1.68,0.0,4.06,59.13,8.06,38.09,8.32
1146,HCL Infosystems Ltd,HCL-INSYS,IT Services and Consulting,Small Cap,454.31,13.8,215.82,62.89,-0.11,0.74,18.53,-2.11,0.0,-1.92,-25.99,0.4,42.98,11.36,24.52,-53.69
1147,State Trading Corporation of India Ltd,STCINDIA,Trading,Small Cap,429.0,72.95,159.3,90.0,0.02,-14.47,-4.94,-0.09,0.0,-0.42,-13.92,0.2,-39.43,-54.51,-86.84,-48.67
1148,Menon Bearings Ltd,MENONBE,Automobiles,Small Cap,567.12,100.8,198.0,71.25,23.29,4.38,23.12,5.06,1.98,20.79,-0.69,2.07,42.69,12.39,24.53,31.21
1149,Oswal Agro Mills Ltd,OSWALAGRO,Real Estate,Small Cap,401.36,30.6,23.68,41.88,2.39,1.42,21.0,0.5,0.0,0.04,18.13,71.85,3.7,80.7,19.11,-54.03
1150,Medico Remedies Ltd,MEDICO,Pharmaceuticals,Small Cap,564.71,349.3,123.05,73.34,14.02,2.95,115.48,15.13,0.0,28.43,0.0,1.55,9.24,3.97,4.89,-0.3
1151,TVS Electronics Ltd,TVSELECT,Technology Hardware,Small Cap,605.2,325.6,309.64,59.91,17.32,8.1,40.08,6.53,0.62,9.53,-3.36,1.39,28.11,4.88,15.1,36.61
1152,Nahar Capital and Financial Services Ltd,NAHARCAP,Finance,Small Cap,415.64,249.4,314.44,71.54,17.4,135.24,1.84,0.27,1.21,0.1,11.5,3.6,306.55,72.02,226.47,248.6
1153,United Drilling Tools Ltd,UNIDT,Oil and Gas,Small Cap,439.16,218.7,176.0,74.65,23.09,24.64,8.78,1.83,0.97,7.55,0.0,5.16,75.36,28.43,50.03,20.14
1154,V L S Finance Ltd,VLSFINANCE,Finance,Small Cap,653.56,178.2,232.34,45.76,7.78,54.2,3.11,0.22,0.89,0.03,18.12,20.67,211.49,90.47,210.2,4.57
1155,Exxaro Tiles Ltd,EXXARO,Construction and Infrastructure,Small Cap,534.43,122.65,326.67,42.07,8.9,4.62,29.54,2.0,0.0,21.31,0.0,2.33,49.76,5.54,18.09,26.23
1156,Hardwyn India Ltd,HARDWYN,Construction and Infrastructure,Small Cap,468.02,303.1,84.83,74.85,24.92,1.48,137.65,30.49,0.0,43.0,0.0,1.35,5.41,4.01,3.4,46.13
1157,Tribhovandas Bhimji Zaveri Ltd,TBZ,Diamond and Jewellery,Small Cap,448.1,67.65,1856.71,74.12,3.84,3.03,22.19,0.85,1.49,111.43,-8.28,1.49,89.31,1.09,20.19,36.44
1158,Urja Global Ltd,URJA,Renewable Energy,Small Cap,470.91,8.25,74.54,30.18,0.45,0.01,596.09,2.62,0.0,3.27,8.45,1.91,2.09,1.06,0.79,-50.9
1159,HT Media Ltd,HTMEDIA,Publishing,Small Cap,416.25,18.4,1677.85,69.51,0.71,0.77,23.4,0.17,0.0,35.29,-27.46,1.13,203.98,1.06,17.79,26.05
1160,Swelect Energy Systems Ltd,SWELECTES,Electrical Components and Equipments,Small Cap,439.83,287.45,411.93,56.37,4.22,21.37,13.58,0.56,1.03,58.34,0.45,1.68,91.32,7.87,32.4,45.87
1161,IFB Agro Industries Ltd,IFBAGRO,Beverages,Small Cap,439.46,474.2,1027.21,65.0,12.38,62.5,7.51,0.88,0.0,4.46,-6.83,6.26,90.87,5.7,58.54,42.99
1162,Ksolves India Ltd,KSOLVES,IT Services and Consulting,Small Cap,526.88,440.6,48.34,58.94,104.31,13.27,33.5,31.36,1.29,0.0,0.0,3.49,21.28,32.54,15.73,69.67
1163,Dhanlaxmi Bank Ltd,DHANBANK,Private Banks,Small Cap,404.82,16.35,1085.76,0.0,4.07,1.42,11.27,0.45,0.0,0.0,-6.48,0.06,55.93,3.31,35.91,3.11
1164,N R Agarwal Industries Ltd,NRAIL,Paper Products,Small Cap,383.7,224.1,1627.94,73.55,12.05,35.85,6.29,0.72,0.0,32.58,-12.78,1.15,154.23,3.75,61.01,41.07
1165,Allied Digital Services Ltd,ADSL,Software and IT Services,Small Cap,531.1,97.4,511.05,52.82,11.73,11.64,8.7,0.95,1.02,7.65,32.17,3.74,96.41,11.94,61.04,41.12
1166,Nureca Ltd,NURECA,Pharmaceuticals,Small Cap,353.66,356.95,263.25,62.98,24.55,44.97,7.86,1.74,0.85,2.17,0.0,16.86,63.21,17.08,44.97,21.72
1167,CSL Finance Ltd,CSLFINANCE,Finance,Small Cap,472.13,234.8,74.8,51.33,11.52,17.05,14.11,1.47,1.1,64.02,0.0,0.76,45.42,44.73,33.46,20.92
1168,Rama Phosphates Ltd,RAMAPHO,Chemicals,Small Cap,348.11,195.35,881.92,75.0,29.56,39.63,4.97,1.29,1.02,17.78,0.0,2.02,115.32,7.94,70.04,51.78
1169,Hi-Tech Gears Ltd,HITECHGEAR,Automobiles,Small Cap,473.89,256.0,978.51,56.22,-0.34,-0.59,-426.93,1.43,0.59,142.27,-10.3,1.2,89.64,-0.11,-1.11,29.43
1170,Repro India Ltd,REPRO,Education Services,Small Cap,488.45,381.4,288.48,51.42,-8.88,-18.7,-21.06,1.82,0.0,38.1,-11.34,1.18,14.19,-8.04,-23.19,107.79
1171,Sreeleathers Ltd,SREEL,Textiles,Small Cap,402.43,177.05,122.45,75.0,5.08,7.14,24.33,1.19,0.0,0.99,-6.03,2.38,24.13,13.51,16.54,46.1
1172,Manaksia Ltd,MANAKSIA,Metals and Mining,Small Cap,766.75,119.85,1234.58,74.93,17.73,27.93,4.19,0.71,0.0,10.48,16.21,4.74,288.51,14.83,183.05,38.15
1173,BandB Triplewall Containers Ltd,BBTCL,Logistics,Small Cap,452.17,221.1,313.33,71.43,31.66,11.91,18.51,5.09,0.45,65.63,0.0,1.66,45.34,7.8,24.43,33.08
1174,Munjal Auto Industries Ltd,MUNJALAU,Automobiles,Small Cap,409.5,41.15,1921.13,74.81,7.95,2.68,15.28,1.16,2.44,32.92,-11.99,1.29,88.18,1.4,26.8,-9.72
1175,Aarti Surfactants Ltd,AARTISURF,Chemicals,Small Cap,431.57,524.75,575.81,49.28,3.56,7.13,78.61,2.77,0.0,90.59,0.0,1.17,32.44,0.95,5.49,23.61
1176,Goa Carbon Ltd,GOACARBON,Metals and Mining,Small Cap,405.21,445.9,768.67,59.72,39.61,41.28,10.73,3.54,2.26,209.25,-14.31,1.26,59.23,4.91,37.78,117.48
1177,Genus Paper and Boards Ltd,GENUSPAPER,Paper Products,Small Cap,383.12,15.15,582.44,50.5,5.99,1.0,14.86,0.77,0.0,41.02,0.67,1.68,51.63,4.43,25.79,103.17
1178,Prozone Intu Properties Ltd,PROZONINTU,Real Estate,Small Cap,363.96,25.0,115.27,26.74,-0.45,-0.23,-103.99,0.46,0.0,58.03,-15.26,1.9,60.91,-3.04,-3.5,96.71
1179,Innovana Thinklabs Ltd,INNOVANA,Software and IT Services,Small Cap,716.48,690.0,61.92,73.19,28.14,20.95,33.37,8.32,0.21,16.99,51.21,1.39,30.01,34.67,21.47,2.16
1180,Empyrean Cashews Ltd,KRISHIVAL,Packaged Foods and Meats,Small Cap,514.67,260.0,52.21,41.88,10.75,1.93,155.49,12.21,0.02,25.36,0.0,8.45,7.39,6.34,3.31,82.68
1181,Zim Laboratories Ltd,ZIMLAB,Pharmaceuticals,Small Cap,398.33,83.95,337.83,33.26,8.65,1.0,27.38,2.27,0.0,30.34,0.0,1.45,45.38,4.31,14.55,9.12
1182,GVK Power and Infrastructure Ltd,GVKPIL,Aviation,Small Cap,434.28,2.75,3831.94,54.25,-0.86,16.75,0.16,-0.14,0.0,-3.42,-30.12,0.27,3265.56,69.03,2645.37,1052.5
1183,Jindal Poly Investment and Finance Company Ltd,JPOLYINVST,Finance,Small Cap,461.0,444.35,2467.89,74.63,41.14,756.66,0.58,0.11,0.0,37.97,48.13,0.98,1761.91,32.23,795.4,232719.81
1184,Unitech Ltd,UNITECH,Real Estate,Small Cap,418.61,1.55,597.23,5.13,-41.13,-3.93,-0.42,0.14,0.0,130.5,0.0,1.05,31.99,-166.47,-1011.97,6.43
1185,FCS Software Solutions Ltd,FCSSOFT,Software and IT Services,Small Cap,410.29,2.4,36.5,19.65,-0.02,0.0,-6838.21,1.18,0.0,6.27,36.85,1.28,6.54,-0.16,-0.06,-0.71
1186,Shyam Century Ferrous Ltd,SHYAMCENT,Metals and Mining,Small Cap,370.24,17.65,212.5,51.7,38.82,2.56,6.51,2.12,0.0,0.49,10.12,10.71,79.1,26.76,56.86,56.61
1187,Man Industries India Ltd,MANINDS,Construction and Infrastructure,Small Cap,523.5,87.45,2175.71,45.69,11.43,17.47,5.15,0.56,0.0,6.04,-7.09,1.45,217.66,4.67,101.57,3.07
1188,Plastiblends India Ltd,PLASTIBLEN,Chemicals,Small Cap,424.01,161.65,724.56,63.6,10.32,14.13,11.55,1.11,2.45,11.51,-4.42,3.03,68.17,5.07,36.71,24.74
1189,Liberty Shoes Ltd,LIBERTSHOE,Footwear,Small Cap,360.99,214.1,488.1,58.5,1.18,1.3,162.61,1.91,0.0,34.48,-0.17,1.89,45.23,0.45,2.22,6.46
1190,Consolidated Finvest and Holdings Ltd,CONSOFINVT,Finance,Small Cap,340.56,117.3,12.22,73.97,0.14,0.19,567.6,0.68,0.0,0.0,10.25,10.07,2.66,4.91,0.6,7.76
1191,Magadh Sugar and Energy Ltd,MAGADSUGAR,Sugar,Small Cap,449.31,322.2,997.88,61.02,7.96,32.66,9.76,0.75,2.04,106.48,23.03,0.94,127.15,4.61,46.02,4.58
1192,Shemaroo Entertainment Ltd,SHEMAROO,Media and Entertainment,Small Cap,316.27,117.85,383.26,65.88,0.92,1.94,59.9,0.55,0.0,44.07,-25.5,2.88,37.72,1.38,5.28,22.78
