,Name,Symbol,Sector,Market Cap Category,Market Capital,Close Price,Total Revenue,Promoters Holding,Return on Equity,Earnings Per Share,PE Ratio,PB Ratio,Dividend Yield,Debt to Equity,5 Year CAGR,Current Ratio,EBITDA,Net Profit Margin,Net Income,Revenue Growth
70,Havells India Ltd,HAVELLS,Electrical Components and Equipments,Large Cap,75053.97,1205.05,14098.92,59.45,21.41,19.11,62.73,12.5,0.63,7.29,18.71,1.82,1934.37,8.49,1196.47,32.45
71,SRF Ltd,SRF,Chemicals,Large Cap,66606.66,2271.95,12549.17,50.53,24.5,63.09,35.26,7.78,0.75,42.67,43.11,1.18,3218.71,15.05,1888.92,48.22
72,Tata Power Company Ltd,TATAPOWER,Power,Large Cap,65696.18,207.75,46099.0,46.86,6.79,5.45,37.72,2.52,0.85,196.69,19.77,0.64,9516.39,3.78,1741.46,31.82
73,Marico Ltd,MARICO,FMCG,Large Cap,64462.52,499.5,10647.0,59.48,36.77,9.49,52.62,18.93,1.85,14.07,9.86,1.63,1779.0,11.51,1225.0,18.88
74,ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,Insurance,Large Cap,57319.88,405.55,64590.61,73.35,6.3,5.28,75.5,4.78,0.14,10.01,-0.13,0.93,1027.93,1.18,759.2,-25.72
75,Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Healthcare,Large Cap,63296.88,4408.3,15034.9,29.33,19.77,73.42,59.96,10.77,0.27,69.21,30.08,1.73,2557.4,7.02,1055.6,40.97
76,Bajaj Holdings and Investment Ltd,BAJAJHLDNG,Finance,Large Cap,69370.36,6152.65,4380.18,51.36,8.48,364.41,17.1,1.34,1.84,0.22,17.73,4.6,4259.61,92.59,4055.68,12.06
77,United Spirits Ltd,MCDOWELL-N,Beverages,Large Cap,53507.57,756.0,9748.4,56.73,18.55,11.4,64.58,10.98,0.0,12.42,3.1,1.35,1478.4,8.5,828.6,18.82
78,GAIL Ltd,GAIL,Gas Distribution,Large Cap,67756.4,105.25,95706.73,51.52,20.85,18.4,5.53,1.05,6.55,14.33,-1.56,1.08,18086.17,12.81,12256.07,58.95
79,Punjab National Bank,PNB,Public Banks,Large Cap,54779.8,51.8,88571.12,73.15,4.04,3.59,14.19,0.56,1.29,0.0,-12.51,0.12,5722.26,4.36,3860.74,-6.48
80,ICICI Lombard General Insurance Company Ltd,ICICIGI,Insurance,Large Cap,53367.52,1079.1,16836.02,48.02,15.14,26.89,41.99,5.81,0.83,2.77,6.5,0.27,1824.91,7.55,1271.02,32.79
81,Indian Overseas Bank,IOB,Public Banks,Large Cap,46121.89,25.85,21641.17,96.38,8.48,0.97,26.98,1.99,0.0,0.0,5.64,0.14,1951.36,7.9,1709.28,-3.65
82,Canara Bank Ltd,CANBK,Public Banks,Large Cap,52682.34,305.2,94256.89,62.93,9.14,35.39,8.6,0.74,2.24,0.0,1.01,0.17,9986.07,6.5,6124.84,0.98
83,Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Finance,Large Cap,61644.29,750.2,10231.81,51.49,20.16,26.22,28.63,5.24,0.27,587.76,20.91,0.6,3008.23,21.05,2153.51,6.14
84,Yes Bank Ltd,YESBANK,Private Banks,Large Cap,50320.57,16.85,22423.52,0.0,3.18,0.42,47.29,1.49,0.0,0.0,-44.54,0.24,1837.02,4.75,1064.05,-3.12
85,Jindal Steel And Power Ltd,JINDALSTEL,Metals and Mining,Large Cap,57939.85,589.05,51216.0,61.2,16.91,56.66,10.07,1.56,0.52,36.4,18.81,1.17,13674.98,11.23,5753.05,45.87
86,IDBI Bank Ltd,IDBI,Public Banks,Large Cap,52417.96,49.55,23277.74,94.71,6.3,2.36,20.69,1.23,0.0,0.0,-9.22,0.12,2974.34,10.88,2533.68,-6.24
87,ABB India Ltd,ABB,Heavy Electrical Equipments,Large Cap,70425.63,3328.75,9086.26,75.0,13.58,47.96,69.3,17.41,0.17,0.91,16.89,1.66,1471.22,11.18,1016.23,25.94
88,Berger Paints India Ltd,BERGEPAINT,Chemicals,Large Cap,56608.3,580.75,8830.23,75.0,22.76,8.57,67.97,14.39,0.53,25.76,18.77,1.42,1399.52,9.43,832.82,28.55
89,Union Bank of India Ltd,UNIONBANK,Public Banks,Large Cap,45690.29,72.4,81754.07,83.49,7.77,7.95,8.68,0.64,2.84,0.0,-6.92,0.12,9311.14,6.44,5265.31,-2.23
90,Hero MotoCorp Ltd,HEROMOTOCO,Automobiles,Large Cap,49227.52,2461.55,30106.29,34.77,14.69,115.97,21.25,3.08,3.86,3.78,-7.2,1.92,3800.73,7.7,2316.88,-4.48
91,UPL Ltd,UPL,Chemicals,Large Cap,52985.39,710.0,46655.0,30.74,13.46,47.46,14.61,1.81,1.44,91.26,8.32,1.41,9620.0,7.77,3626.0,19.65
92,Tube Investments of India Ltd,TIINDIA,Automobiles,Large Cap,54290.32,2707.05,12654.09,46.43,23.95,39.87,70.61,14.57,0.12,23.38,59.4,0.98,1576.24,6.08,768.83,105.71
93,Macrotech Developers Ltd,LODHA,Real Estate,Large Cap,48047.22,1028.5,9580.15,75.0,13.91,27.41,39.96,3.95,0.0,94.86,0.0,1.47,2479.22,12.55,1202.37,65.99
94,Torrent Pharmaceuticals Ltd,TORNTPHARM,Pharmaceuticals,Large Cap,50773.58,1493.25,8704.6,71.25,13.18,22.96,65.33,8.53,1.6,68.36,17.42,1.17,2143.13,8.93,777.18,7.98
95,PI Industries Ltd,PIIND,Chemicals,Large Cap,46835.51,3101.65,5404.5,46.09,14.72,55.55,55.51,7.65,0.19,5.17,28.58,3.68,1254.6,15.61,843.8,14.84
96,TVS Motor Company Ltd,TVSMOTOR,Automobiles,Large Cap,50684.67,1070.35,24390.67,50.27,16.33,15.93,66.97,10.03,0.35,313.22,9.58,0.93,2749.87,3.1,756.82,25.29
97,Indus Towers Ltd,INDUSTOWER,Telecom,Large Cap,45878.33,167.0,28175.7,69.0,33.52,23.65,7.2,2.07,6.46,89.05,-13.52,1.39,15359.2,22.62,6373.1,85.16
98,Indian Railway Catering and Tourism Corporation Ltd,IRCTC,Online Services,Large Cap,48736.0,613.95,1975.43,62.4,39.75,8.3,73.43,25.87,0.57,5.66,0.0,1.87,949.55,33.6,663.69,119.24
99,Bosch Ltd,BOSCHLTD,Automobiles,Large Cap,53620.17,17983.75,12177.8,70.54,11.89,413.07,44.01,5.02,1.16,0.68,-0.79,1.94,1853.1,10.0,1218.3,19.15
100,Info Edge Ltd,NAUKRI,Online Services,Mid Cap,45177.44,3515.65,15399.46,38.05,108.47,992.1,3.54,2.5,0.37,0.35,22.03,3.04,14256.45,82.86,12759.56,467.93
101,Zomato Ltd,ZOMATO,Online Services,Large Cap,45603.13,53.65,5010.3,0.0,-9.83,-2.49,-37.73,2.76,0.0,0.43,0.0,10.6,-1058.2,-24.12,-1208.7,136.51
102,Samvardhana Motherson International Ltd,MOTHERSON,Automobiles,Large Cap,54719.6,80.05,64411.9,68.16,4.49,1.4,62.62,2.45,0.54,63.18,-10.86,1.01,5289.2,1.36,873.8,11.03
103,Trent Ltd,TRENT,Retail,Large Cap,45678.36,1304.9,4678.37,37.01,4.44,2.98,431.62,18.95,0.13,196.08,32.88,2.73,746.88,2.26,105.83,67.41
104,Page Industries Ltd,PAGEIND,Textiles,Mid Cap,41734.78,37296.35,3907.45,46.12,54.37,481.03,77.79,38.34,0.99,10.1,11.18,1.67,807.85,13.73,536.54,36.99
105,JSW Energy Ltd,JSWENERGY,Power,Mid Cap,37538.63,242.65,8744.38,74.66,10.83,10.53,21.72,2.16,0.87,51.34,24.65,1.02,4146.23,19.77,1728.62,21.84
106,Procter and Gamble Hygiene and Health Care Ltd,PGHH,FMCG,Mid Cap,45040.08,14061.4,3925.24,70.64,79.31,177.37,78.23,61.07,1.15,0.69,8.36,1.32,854.21,14.67,575.75,8.63
107,HDFC Finance Company Ltd,HDFCAMC,Finance,Mid Cap,38219.47,1796.25,2433.2,62.78,27.03,65.37,27.43,6.91,2.34,0.0,0.0,0.63,1909.14,57.26,1393.13,10.51
108,ACC Ltd,ACC,Cement,Mid Cap,33827.06,1894.05,17656.07,56.69,13.79,34.58,52.09,2.36,0.0,0.88,3.0,1.73,1597.86,3.68,649.44,7.86
109,Indian Hotels Company Ltd,INDHOTEL,Hospitality,Mid Cap,44756.81,318.05,3227.0,38.19,-4.15,-1.87,-180.68,5.85,0.13,50.79,19.08,1.36,575.53,-7.68,-247.72,69.86
110,Container Corporation of India Ltd,CONCOR,Logistics,Mid Cap,36210.36,605.1,8041.35,54.8,9.97,17.32,34.32,3.33,1.51,6.73,2.88,2.58,2018.73,13.12,1055.12,17.79
111,United Breweries Ltd,UBL,Beverages,Mid Cap,38542.34,1464.85,5868.23,72.71,9.71,13.82,105.46,9.78,0.72,0.25,6.8,1.71,726.41,6.23,365.46,34.95
